Arts_and_Entertainment~Celebrities_and_Entertainment_News,Arts_and_Entertainment~Humor,Arts_and_Entertainment~Movies,Arts_and_Entertainment~Music_and_Audio,Arts_and_Entertainment~Other,Arts_and_Entertainment~Performing_Arts,Arts_and_Entertainment~Photography,Arts_and_Entertainment~TV_and_Video,Arts_and_Entertainment~Visual_Arts_and_Design,Autos_and_Vehicles~Automotive_Industry,Autos_and_Vehicles~Boating,Autos_and_Vehicles~Car_Buying,Autos_and_Vehicles~Other,Beauty_and_Fitness~Fitness,Beauty_and_Fitness~Other,Business_and_Industry~Business_Services,Business_and_Industry~Marketing_and_Advertising,Business_and_Industry~Publishing_and_Printing,Business_and_Industry~Real_Estate,Business_and_Industry~Transportation_and_Logistics,Career_and_Education~Education,Career_and_Education~Other,Career_and_Education~Universities_and_Colleges,Computer_and_Electronics~Computer_Hardware,Computer_and_Electronics~Computer_Security,Computer_and_Electronics~Consumer_Electronics,Computer_and_Electronics~Graphics_and_Multimedia_Tools,Computer_and_Electronics~Other,Computer_and_Electronics~Programming,Computer_and_Electronics~Software,Finance~Banking,Finance~Financial_Management,Finance~Insurance,Finance~Investing,Finance~Other,Food_and_Drink~Cooking_and_Recipes,Food_and_Drink~Food_and_Grocery_Retailers,Food_and_Drink~Other,Food_and_Drink~Restaurants_and_Delivery,Games~Online,Games~Other,Games~Video_Games,Health~Conditions_and_Diseases,Health~Medicine,Health~Other,Health~Products_and_Shopping,Internet_and_Telecom~Ad_Network,Internet_and_Telecom~Chats_and_Forums,Internet_and_Telecom~Email,Internet_and_Telecom~File_Sharing,Internet_and_Telecom~Mobile_Developers,Internet_and_Telecom~Online_Marketing,Internet_and_Telecom~Web_Design,Law_and_Government~Government,News_and_Media~Business_News,News_and_Media~Magazines_and_E-Zines,News_and_Media~Newspapers,News_and_Media~Other,News_and_Media~Sports_News,News_and_Media~Technology_News,News_and_Media~Weather,People_and_Society~Other,People_and_Society~Religion_and_Spirituality,Reference~Dictionaries_and_Encyclopedias,Reference~Directories,Reference~Maps,Science~Biology,Science~Social_Sciences,Shopping~Children,Shopping~Clothing,Shopping~Consumer_Electronics,Shopping~Coupons,Shopping~Home_and_Garden,Shopping~Other,Shopping~Sports,Sports~Other,Travel~Accommodation_and_Hotels,Travel~Airlines_and_Airports,Travel~Other,Travel~Tourism,uid
,,,,3.0,,,4.0,,,,,,,,4.0,13.0,,1.0,,,,,,,11.0,,,,5.0,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,2.0,,,,,,1.0,,,,,,,,,,,4.0,8.0,,,,9.0,,2.0,,,,,248777
,,3.0,5.0,2.0,,,6.0,,,,,,,,8.0,36.0,,,,,1.0,,,1.0,3.0,1.0,1.0,,9.0,,,,,,,,,2.0,,,,,2.0,,7.0,2.0,4.0,7.0,,,13.0,,1.0,,,3.0,9.0,,,,3.0,,,,,,,,,,3.0,4.0,6.0,,4.0,4.0,,,,128859
9.0,,2.0,22.0,26.0,5.0,8.0,20.0,,,,12.0,2.0,,,16.0,31.0,,7.0,,2.0,1.0,3.0,,1.0,3.0,,2.0,,17.0,,,1.0,5.0,,,1.0,,5.0,,,16.0,,,3.0,,,1.0,2.0,7.0,5.0,6.0,1.0,5.0,,34.0,8.0,50.0,33.0,1.0,,8.0,,1.0,,,,,,,,1.0,,12.0,,1.0,3.0,,,,30503
,,4.0,2.0,,,,5.0,,,,3.0,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,11.0,,,,,,,1.0,,,,1.0,1.0,,,,,1.0,19.0,,,6.0,,,,,,,2.0,,,,2.0,2.0,1.0,,,1.0,1.0,,,142286
4.0,1.0,1.0,2.0,8.0,,1.0,1.0,1.0,,,,,,,1.0,6.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,1.0,3.0,,,2.0,,4.0,,,,1.0,,6.0,,,,,,2.0,,,,3.0,,,,,,,326796
4.0,6.0,,12.0,2.0,,1.0,,,,,,,,,3.0,22.0,2.0,,1.0,,,,,,,,2.0,,1.0,,,,,,4.0,,,,,,,,,,,5.0,,,3.0,,8.0,,1.0,,5.0,1.0,4.0,,,,1.0,,,,,2.0,,,,1.0,,,9.0,,1.0,,,,,105692
2.0,7.0,,,3.0,,,5.0,,,,,,,,1.0,6.0,,1.0,1.0,,,,,,2.0,,,,13.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,2.0,,5.0,7.0,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,316162
,,,16.0,15.0,,,5.0,,,,1.0,,8.0,,6.0,38.0,,,,,,,,1.0,,,4.0,,49.0,,,,,,,,,3.0,1.0,,,6.0,,1.0,,7.0,1.0,,,4.0,11.0,,,2.0,,,16.0,,,7.0,1.0,,,,,,,,,,2.0,,5.0,,3.0,2.0,,,,296069
,,,,6.0,,,7.0,,,,1.0,,,,8.0,13.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,2.0,,16.0,,,1.0,3.0,,,,,,,,5.0,,,,,1.0,2.0,5.0,2.0,2.0,4.0,,,2.0,14.0,,7.0,,,,3.0,,,,14.0,1.0,,,,,,,4.0,,6.0,1.0,,,,62421
,,,,,,,1.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,2.0,71512
,,,7.0,,,,,,,,,,,,1.0,2.0,,,,,,,,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,4.0,8.0,8.0,173123
,,1.0,1.0,3.0,,1.0,5.0,,,,,,,2.0,3.0,10.0,,,1.0,,,,,,2.0,,5.0,,5.0,,,,,,,,,,,,,,,2.0,,3.0,1.0,1.0,1.0,4.0,5.0,,1.0,5.0,,13.0,19.0,,,,1.0,,,,,,,,,,,,,,,,,,,88123
,4.0,,5.0,4.0,,,4.0,,,,,,,,2.0,44.0,,,,,,,,,,,1.0,,4.0,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,1.0,,,5.0,,,1.0,,,7.0,,,,7.0,,,,1.0,,,,4.0,,,,13.0,,2.0,1.0,,,,162092
,,,1.0,1.0,,,3.0,,,,1.0,,,,1.0,12.0,,,,,,,,13.0,,,,,17.0,,,,,2.0,,,,,,,1.0,,,,,,,,1.0,14.0,5.0,,,,1.0,4.0,16.0,,,,7.0,,,4.0,,,,,,,,,4.0,,,1.0,,,,179919
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34401
,1.0,,3.0,10.0,,1.0,4.0,,11.0,1.0,,3.0,,,5.0,10.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,8.0,,,,1.0,,26.0,,,1.0,1.0,,,,,3.0,,7.0,,1.0,,10.0,3.0,,,,,,18.0,2.0,,,4.0,,,2.0,1.0,,,,1.0,,,,8.0,2.0,1.0,,,,,10015
,,2.0,,5.0,,,,,,,,,,,2.0,1.0,,,,,,,,,2.0,,,2.0,4.0,,,,,,1.0,,,,,,,,,,,,2.0,,,,1.0,,,,,,6.0,1.0,1.0,,1.0,,,1.0,,,,2.0,,,,,3.0,,,,,,,268011
,1.0,,8.0,1.0,,,25.0,,,,1.0,,,,20.0,36.0,,1.0,2.0,,,,,1.0,7.0,,9.0,,,,,,,,,,,,,,4.0,,1.0,,,3.0,6.0,,3.0,1.0,5.0,,,,,,32.0,15.0,,,6.0,,,,1.0,1.0,,,,6.0,,,31.0,4.0,2.0,6.0,,,,273122
,,,4.0,5.0,,,8.0,,,,1.0,,,,9.0,18.0,,,1.0,2.0,,2.0,,6.0,,,,,3.0,1.0,,,3.0,7.0,,,,6.0,,,,,,,,3.0,1.0,5.0,,,7.0,,,,,4.0,5.0,2.0,,,1.0,,,1.0,,,,,,,5.0,,6.0,,,6.0,10.0,,2.0,2432
,3.0,,9.0,9.0,,,19.0,,,1.0,1.0,2.0,,,9.0,41.0,,,1.0,1.0,,,,20.0,,,,,2.0,,,,5.0,1.0,,,,,1.0,1.0,,,1.0,,1.0,2.0,1.0,1.0,,7.0,15.0,,,3.0,,,20.0,,,,3.0,,,,1.0,,,,,,,,4.0,,3.0,,,,,80742
,,,10.0,5.0,,1.0,4.0,,,,1.0,2.0,,,26.0,12.0,,2.0,,,,1.0,,,6.0,1.0,1.0,,8.0,,,,,1.0,,,,,,,1.0,,,,,8.0,,,,2.0,7.0,,,,,7.0,19.0,2.0,,108.0,,3.0,,1.0,,3.0,2.0,,,,,1.0,2.0,1.0,,,,,,96513
,,1.0,12.0,2.0,,,1.0,1.0,1.0,,,,,2.0,,1.0,1.0,,,,,,,,,,5.0,,18.0,2.0,,8.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,3.0,7.0,,6.0,,,,14.0,14.0,,,,,,,,,,,8.0,,2.0,,,,,307773
,,,2.0,,,,,,,,,,,,,13.0,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,2.0,,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,6.0,,,,,,,3.0,,,,65760
,,,4.0,8.0,,,6.0,,,,2.0,,,,2.0,27.0,1.0,1.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,2.0,,1.0,3.0,1.0,5.0,,,,,1.0,8.0,13.0,,,2.0,,,,1.0,,,,2.0,,,,4.0,,3.0,37.0,,,,61826
,,2.0,9.0,8.0,,1.0,1.0,,,,1.0,,,,6.0,3.0,,,1.0,,,,,,2.0,,,,6.0,,,,,,,1.0,,1.0,,,8.0,,,,,1.0,1.0,3.0,,1.0,1.0,,2.0,,,3.0,3.0,,,,11.0,,,,,,1.0,,7.0,,1.0,3.0,16.0,,2.0,1.0,,,4.0,98657
,,,9.0,15.0,,,2.0,,,,1.0,,,,4.0,29.0,,,,1.0,,,,,,,3.0,1.0,,,,1.0,,,,,,,,,1.0,,2.0,1.0,5.0,,1.0,,,1.0,8.0,,,1.0,,,13.0,4.0,,,,,,2.0,,,,,,,,,8.0,,3.0,4.0,,,2.0,194827
,,,,4.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,322424
,,,,,,3.0,2.0,,,,,,,,4.0,2.0,,,,,,,,,1.0,,1.0,,27.0,1.0,,,,1.0,,,,,,,,,,,,2.0,,,,6.0,4.0,,,,,,2.0,,1.0,,11.0,,,1.0,,,,,,,,,15.0,,2.0,,,,4.0,126441
,13.0,1.0,7.0,34.0,,1.0,15.0,1.0,,1.0,1.0,2.0,,1.0,10.0,55.0,1.0,,,,,,,4.0,,1.0,3.0,5.0,13.0,,,2.0,,8.0,9.0,7.0,1.0,2.0,7.0,3.0,2.0,9.0,,10.0,7.0,2.0,4.0,1.0,3.0,,9.0,2.0,1.0,,12.0,3.0,44.0,,2.0,,6.0,2.0,,,,8.0,,,,,,3.0,14.0,,3.0,4.0,,1.0,1.0,312760
,,,,,,,2.0,,,,,,,,8.0,6.0,,3.0,,,,,,,,,,3.0,,,,,,,8.0,,,,,,1.0,,,,,,,,,,6.0,,,,,,22.0,,,6.0,,,2.0,1.0,3.0,,,,,,,,1.0,,,,,,2.0,255507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290034
,,,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,4.0,,,2.0,,,,,,,,1.0,,,,,,,,,,,,2.0,1.0,,,,,,8.0,,,7.0,,14.0,4.0,,,,,,,,,,,,,,,,,66430
,,,,2.0,,,7.0,,,,2.0,,,,5.0,28.0,,4.0,,,,,,,10.0,,,,5.0,,,,,,1.0,,,,5.0,1.0,5.0,3.0,,,,9.0,,2.0,,9.0,3.0,,2.0,1.0,,3.0,4.0,1.0,,,8.0,,,4.0,,1.0,1.0,,4.0,,,,2.0,,,,,,5.0,78302
,,,1.0,4.0,,,2.0,,,,,,,,3.0,11.0,,,,,,,,,,,1.0,,9.0,,,1.0,,,,,,,,,,,,,,4.0,1.0,,,1.0,4.0,,1.0,,,,8.0,,,4.0,5.0,,,,,1.0,,,,,,,1.0,,1.0,2.0,,,,163492
7.0,1.0,,2.0,14.0,1.0,7.0,13.0,2.0,,,3.0,,,,6.0,52.0,,1.0,,4.0,,1.0,,,,,2.0,,22.0,,2.0,,,8.0,1.0,,,2.0,3.0,,,,,,,5.0,1.0,1.0,3.0,7.0,11.0,,2.0,4.0,25.0,6.0,23.0,,2.0,,6.0,,,,6.0,,1.0,2.0,4.0,2.0,,8.0,25.0,,2.0,1.0,,,,122444
,,,,1.0,,,,,,,,,,,1.0,8.0,,1.0,,,,,,,,,,1.0,4.0,,,,,,,,,,,,,,3.0,,,3.0,,,,,3.0,,1.0,,,,2.0,,,14.0,,,,,1.0,,,,,,,,,,1.0,,,,,239765
10.0,,2.0,12.0,14.0,,5.0,1.0,,,,1.0,,,10.0,10.0,3.0,,,,,,,,,6.0,,6.0,,4.0,,,,,,1.0,,,1.0,2.0,7.0,,,,,,1.0,,,1.0,,3.0,,,4.0,8.0,3.0,17.0,,,,4.0,,2.0,,,2.0,,,4.0,,2.0,,,,2.0,,,,,333510
2.0,,,19.0,,,,37.0,,,,,,,,42.0,51.0,,,,,,,,,,1.0,6.0,,9.0,,,,,,,2.0,,,,,,,,,,2.0,,,,7.0,9.0,,,2.0,2.0,24.0,14.0,,,28.0,9.0,,,,,1.0,,,2.0,,,,11.0,,3.0,3.0,,,,308859
,,,8.0,,,1.0,,,,,,,,1.0,1.0,19.0,,6.0,,,,,,,3.0,,3.0,,6.0,,10.0,,,,1.0,,,,,,,,,2.0,,,,,,,2.0,,,,4.0,,18.0,,,3.0,,,,,,,,,,,,,2.0,,1.0,2.0,,,,207530
,2.0,,5.0,10.0,,1.0,9.0,,,3.0,2.0,,,,5.0,48.0,,4.0,,12.0,,,,2.0,,1.0,9.0,,7.0,,,,,,,,,,15.0,,,,,,,3.0,1.0,,,4.0,11.0,,,2.0,7.0,5.0,39.0,2.0,,,7.0,3.0,,,,2.0,,,,,,,7.0,,2.0,2.0,,,,153619
,,,1.0,2.0,,3.0,1.0,,,,,,,,3.0,2.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,152542
,,,,7.0,,,1.0,,,,,,,,3.0,5.0,,,,,,1.0,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,131.0,,,,,,,,,1.0,,,,,,,,,,,,,4.0,109066
4.0,,,6.0,4.0,1.0,,14.0,,,,,,,,16.0,46.0,,4.0,,,,,2.0,18.0,,,7.0,,,1.0,,,,,,,,,,,,,,,,7.0,1.0,,,17.0,3.0,,,,2.0,7.0,32.0,,,8.0,9.0,11.0,,,8.0,11.0,,,,,,,7.0,1.0,,2.0,,,1.0,218593
,,,18.0,29.0,,,11.0,,,,4.0,,,,32.0,33.0,,,2.0,,,1.0,,,,,,,9.0,,,,,,,,,,,,1.0,,1.0,,,2.0,1.0,,,,7.0,,,7.0,14.0,6.0,12.0,,,,5.0,,,,,,,,,,,,10.0,,10.0,7.0,,,,266250
,,,1.0,1.0,,,7.0,,,1.0,,,,,4.0,7.0,,,,,,,,,,,,,1.0,,,,,,,,,,5.0,,,,1.0,1.0,2.0,4.0,,,,,1.0,,,,,8.0,12.0,,,,1.0,,,1.0,,,,,,,,,1.0,,1.0,1.0,,,,319460
,1.0,,36.0,10.0,,,2.0,,,,,,,,13.0,19.0,,,,3.0,,,,7.0,2.0,,5.0,,11.0,,,,,,,,,,1.0,1.0,1.0,,,3.0,,25.0,,6.0,,,5.0,,,,,7.0,26.0,,,9.0,,5.0,,,5.0,,1.0,,,,,1.0,3.0,,2.0,,,,,337838
,,,2.0,1.0,,,1.0,,,,,,,,3.0,2.0,,,,,,,,,,,7.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,2.0,,,1.0,,,,159720
,,3.0,2.0,8.0,,,8.0,,,,,,,,2.0,4.0,,,1.0,1.0,,,,12.0,1.0,,4.0,,1.0,,,,,,,,,,,,1.0,,,,,,,2.0,,3.0,2.0,,1.0,14.0,1.0,,68.0,,,4.0,1.0,,,,,,,,,,,,,,,1.0,,,1.0,138007
,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,121805
,,,,,,,14.0,,,,1.0,,,,,14.0,,,,,,,2.0,,,,2.0,,,2.0,,,,,,,,1.0,,,,,1.0,,,5.0,,1.0,,,11.0,,,,,4.0,36.0,46.0,,3.0,8.0,,,,,1.0,7.0,,9.0,,,,,,2.0,1.0,,1.0,,91321
6.0,3.0,,6.0,16.0,,8.0,10.0,2.0,5.0,,,1.0,,,4.0,3.0,1.0,,,,,,,,7.0,,,,5.0,,,,,,,,,,1.0,,1.0,,,,,1.0,,,9.0,,,,,,3.0,,35.0,,,,5.0,,,,,,,,1.0,,,,7.0,,,,,,,338226
,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89035
1.0,1.0,,,6.0,,,9.0,,,1.0,,,,,4.0,39.0,,,,,,,,2.0,,,1.0,1.0,2.0,,,,,,,4.0,,1.0,5.0,,,,2.0,,1.0,,,1.0,,,8.0,,2.0,1.0,,2.0,20.0,1.0,2.0,6.0,7.0,,,,,,,,,,,,6.0,,4.0,1.0,,,1.0,182640
,,,1.0,,,,,,,,,,,,1.0,4.0,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,13.0,,5.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,214658
,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,11.0,,,,,15.0,,,,,,,,,,7.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,7.0,,,,,,,5.0,,,,,,,301774
5.0,7.0,,23.0,33.0,,1.0,37.0,3.0,,,1.0,,,,20.0,27.0,,7.0,1.0,,,,1.0,2.0,,,4.0,1.0,15.0,,,,3.0,,,1.0,,1.0,,,1.0,,,2.0,,5.0,,,,,9.0,,1.0,,29.0,35.0,74.0,,2.0,,18.0,11.0,,,4.0,3.0,,,,1.0,,,13.0,,1.0,2.0,,,3.0,271207
2.0,,4.0,5.0,7.0,,,31.0,,,1.0,,,,,31.0,60.0,,2.0,,,,,,2.0,,1.0,2.0,,7.0,,,,,,6.0,,,,,,,,2.0,9.0,,2.0,6.0,1.0,,2.0,12.0,,3.0,4.0,3.0,6.0,56.0,1.0,,,8.0,1.0,6.0,,1.0,,2.0,,,1.0,,1.0,13.0,,5.0,3.0,,,,276924
,,,16.0,40.0,,1.0,15.0,,1.0,1.0,1.0,,,,16.0,87.0,,,,,,,,,,,2.0,2.0,10.0,5.0,1.0,1.0,,,,,,,,,1.0,4.0,,,,4.0,7.0,4.0,,1.0,17.0,1.0,4.0,2.0,,6.0,60.0,9.0,4.0,,9.0,,,,,1.0,,,1.0,5.0,,1.0,19.0,5.0,1.0,2.0,,,2.0,263198
,,,,12.0,,,,,,,,,,,3.0,3.0,1.0,,,,,,,4.0,,,,,20.0,,,,,,,,,,,,,,,,,11.0,,1.0,,,2.0,,,,,2.0,,5.0,,,,,,,,,,,,,,,2.0,,2.0,,,,,162998
,,,2.0,,,,4.0,,,,2.0,,,,3.0,2.0,,,,,,,,,1.0,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,2.0,1.0,,,,,1.0,4.0,,,6.0,,,,,,,,,,,,,3.0,,,,,,,80922
,6.0,,,2.0,,,2.0,,,,,,,,1.0,9.0,,,8.0,,,2.0,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,3.0,,,,,,4.0,5.0,,5.0,1.0,,,,,,,,,,,,2.0,,1.0,,,,,178040
,1.0,,12.0,5.0,,1.0,4.0,,,,,5.0,,,1.0,8.0,1.0,2.0,,,,,4.0,,4.0,1.0,18.0,,4.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,7.0,5.0,,2.0,3.0,9.0,1.0,8.0,,6.0,,3.0,,,,1.0,,,,,,,,3.0,,,,,,1.0,63267
2.0,5.0,4.0,12.0,22.0,,,8.0,,,,,,,,7.0,31.0,1.0,19.0,,,,,1.0,,,,,,3.0,,,1.0,,,,,2.0,,21.0,,5.0,,,,,7.0,,1.0,,,8.0,1.0,3.0,1.0,1.0,1.0,6.0,7.0,,2.0,3.0,1.0,1.0,6.0,1.0,1.0,,,,,,,9.0,6.0,2.0,2.0,,,,254117
,,,8.0,9.0,,1.0,2.0,31.0,,,19.0,3.0,,,7.0,22.0,2.0,,,,,,,,,,2.0,1.0,6.0,,,,2.0,,,,,,,,1.0,,,,,3.0,1.0,,4.0,6.0,11.0,,,5.0,2.0,4.0,12.0,,,,,,,,,,,,,,,,6.0,,4.0,4.0,,,,241958
,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,4.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,183544
