Arts_and_Entertainment~Celebrities_and_Entertainment_News,Arts_and_Entertainment~Humor,Arts_and_Entertainment~Movies,Arts_and_Entertainment~Music_and_Audio,Arts_and_Entertainment~Other,Arts_and_Entertainment~Performing_Arts,Arts_and_Entertainment~Photography,Arts_and_Entertainment~TV_and_Video,Arts_and_Entertainment~Visual_Arts_and_Design,Autos_and_Vehicles~Automotive_Industry,Autos_and_Vehicles~Boating,Autos_and_Vehicles~Car_Buying,Autos_and_Vehicles~Other,Beauty_and_Fitness~Fitness,Beauty_and_Fitness~Other,Business_and_Industry~Business_Services,Business_and_Industry~Marketing_and_Advertising,Business_and_Industry~Publishing_and_Printing,Business_and_Industry~Real_Estate,Business_and_Industry~Transportation_and_Logistics,Career_and_Education~Education,Career_and_Education~Other,Career_and_Education~Universities_and_Colleges,Computer_and_Electronics~Computer_Hardware,Computer_and_Electronics~Computer_Security,Computer_and_Electronics~Consumer_Electronics,Computer_and_Electronics~Graphics_and_Multimedia_Tools,Computer_and_Electronics~Other,Computer_and_Electronics~Programming,Computer_and_Electronics~Software,Finance~Banking,Finance~Financial_Management,Finance~Insurance,Finance~Investing,Finance~Other,Food_and_Drink~Cooking_and_Recipes,Food_and_Drink~Food_and_Grocery_Retailers,Food_and_Drink~Other,Food_and_Drink~Restaurants_and_Delivery,Games~Online,Games~Other,Games~Video_Games,Health~Conditions_and_Diseases,Health~Medicine,Health~Other,Health~Products_and_Shopping,Internet_and_Telecom~Ad_Network,Internet_and_Telecom~Chats_and_Forums,Internet_and_Telecom~Email,Internet_and_Telecom~File_Sharing,Internet_and_Telecom~Mobile_Developers,Internet_and_Telecom~Online_Marketing,Internet_and_Telecom~Web_Design,Law_and_Government~Government,News_and_Media~Business_News,News_and_Media~Magazines_and_E-Zines,News_and_Media~Newspapers,News_and_Media~Other,News_and_Media~Sports_News,News_and_Media~Technology_News,News_and_Media~Weather,People_and_Society~Other,People_and_Society~Religion_and_Spirituality,Reference~Dictionaries_and_Encyclopedias,Reference~Directories,Reference~Maps,Science~Biology,Science~Social_Sciences,Shopping~Children,Shopping~Clothing,Shopping~Consumer_Electronics,Shopping~Coupons,Shopping~Home_and_Garden,Shopping~Other,Shopping~Sports,Sports~Other,Travel~Accommodation_and_Hotels,Travel~Airlines_and_Airports,Travel~Other,Travel~Tourism,uid
,,,1.0,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,0.0,4.0,,6.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,,66430
,,,1.0,0.0,,,1.0,,,1.0,,2.0,,,1.0,0.0,,,,,,,,0.0,,5.0,1.0,,1.0,,,,,,,,,,,,,,2.0,,,2.0,,,,0.0,0.0,,2.0,,,,1.0,,1.0,2.0,0.0,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,80742
,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,3.0,,4.0,,,0.0,,,1.0,,4.0,1.0,,,0.0,1.0,,,,5.0,,,,,,,,,,1.0,1.0,,,4.0,239765
,,,2.0,0.0,,,,,,,3.0,3.0,,5.0,3.0,4.0,,,,0.0,,,,4.0,2.0,,0.0,,2.0,,,,4.0,4.0,,,,,0.0,3.0,3.0,,,,,3.0,,,,,4.0,,,,,4.0,4.0,,,,4.0,,,,,2.0,,,4.0,4.0,,4.0,0.0,,,,,,,333510
1.0,,,1.0,1.0,,,1.0,,,,0.0,,,,1.0,0.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,4.0,5.0,,2.0,2.0,1.0,5.0,,1.0,,,,5.0,,1.0,,,1.0,1.0,1.0,,,,4.0,,,,,,,1.0,,4.0,1.0,,,,163492
,6.0,,0.0,0.0,,,1.0,,,,,,,6.0,1.0,0.0,,,,,,,,,,,0.0,,5.0,4.0,,,,,3.0,,,1.0,,,,,4.0,,0.0,1.0,1.0,,,,3.0,,,,6.0,,0.0,0.0,0.0,,0.0,3.0,,0.0,,,,,,,,,1.0,,,3.0,,,1.0,194827
,,1.0,0.0,2.0,,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,4.0,,1.0,2.0,,,,1.0,,,,,,,,,6.0,,,,,2.0,,6.0,2.0,,1.0,,3.0,1.0,,,2.0,,1.0,1.0,,1.0,,1.0,1.0,,,,,6.0,,1.0,3.0,,,1.0,,2.0,,,,,98657
,5.0,,0.0,5.0,,,5.0,,,,,,,,,0.0,,4.0,,,,,,,0.0,,0.0,1.0,1.0,,0.0,,,,,,,,,,,,1.0,4.0,,1.0,5.0,,5.0,,1.0,,,,5.0,,0.0,,5.0,,0.0,,,,1.0,,,,,,,,0.0,,5.0,5.0,,,0.0,207530
,4.0,,0.0,0.0,2.0,5.0,0.0,,,1.0,3.0,3.0,,,0.0,0.0,,,,1.0,,,,,,,5.0,,2.0,,,1.0,,,,4.0,,,0.0,,3.0,,,,,0.0,1.0,3.0,,,0.0,,6.0,3.0,5.0,1.0,0.0,,,,3.0,4.0,5.0,,,6.0,,,3.0,,,,1.0,,4.0,0.0,,,2.0,153619
,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,3.0,,,,,,,0.0,,,1.0,,,,,,,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,142286
,,,,,,,4.0,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,179919
,,,1.0,1.0,,,0.0,,,,,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,5.0,,,,,,,,,,,,1.0,,,,,1.0,1.0,,0.0,,1.0,,,3.0,0.0,0.0,0.0,1.0,,,0.0,,,,2.0,,,,6.0,,,,0.0,1.0,0.0,1.0,,,,273122
,,,0.0,1.0,,,0.0,,,,1.0,,,,0.0,0.0,,5.0,,3.0,3.0,0.0,,0.0,6.0,,0.0,1.0,0.0,,,0.0,,5.0,,,5.0,0.0,,,,,,0.0,,0.0,,0.0,3.0,,0.0,,,1.0,2.0,3.0,0.0,0.0,,,1.0,,4.0,,,,,,,,0.0,,,,0.0,0.0,0.0,,,2432
0.0,0.0,,0.0,0.0,,,0.0,,,,5.0,,,0.0,0.0,0.0,,0.0,,,,,,,3.0,,,,0.0,,,,,,0.0,0.0,,4.0,,,,,,5.0,,2.0,,,,6.0,4.0,,,,0.0,4.0,0.0,5.0,,,2.0,4.0,,3.0,1.0,,,,,,0.0,,0.0,,2.0,,,,,340278
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262852
,,,6.0,,,,6.0,,,,,,,,,1.0,,,,,,,,,,,6.0,,5.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,6.0,,3.0,1.0,,,,224775
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,34401
4.0,,,0.0,0.0,4.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,4.0,0.0,,,3.0,0.0,0.0,,,0.0,4.0,,0.0,0.0,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,96513
,,,0.0,3.0,,,0.0,,6.0,,,,0.0,,0.0,0.0,,,,,,,,0.0,,,1.0,,0.0,,,,,,,,,,5.0,,,,,,,1.0,,,,0.0,3.0,,1.0,,,2.0,2.0,,,0.0,,6.0,,,,,,,,,,,1.0,,6.0,3.0,,,,296069
,,1.0,,0.0,,,0.0,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,52352
,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,1.0,,,,,,,,,,219454
,,,2.0,5.0,,,,,,,2.0,,,,,5.0,,2.0,,,,,,,5.0,,,,1.0,,,,,,,,,,,,,,,,,4.0,,,,,5.0,,,,2.0,,0.0,0.0,,,,,,,,,,,,,,,5.0,,,0.0,,,,61826
,,,,5.0,,,,,,,,,,,2.0,1.0,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,54984
,,,2.0,2.0,,,,,,,,,,,6.0,,,,,,,,,,0.0,,2.0,,6.0,,,,,,,,,,,,,,,,,2.0,,,,,6.0,,,,,,,,,,2.0,,6.0,,,,,,2.0,,,,,,,,,,6.0,257305
,,,1.0,2.0,,,1.0,,,,4.0,,,,3.0,1.0,,,,,,,,,0.0,,2.0,5.0,2.0,,,,,,,,,,,,5.0,,,,,5.0,2.0,2.0,,1.0,1.0,,,,,1.0,5.0,2.0,,,,,,,,,,2.0,0.0,,,,1.0,,5.0,,,,,248777
,,,2.0,2.0,,,3.0,,,,,,,,0.0,0.0,,3.0,,6.0,5.0,,,,2.0,,,,0.0,,,,,,,,,4.0,,,,,,,0.0,0.0,5.0,5.0,,,0.0,,,4.0,,0.0,2.0,,,,3.0,,,,,,,,,,,,3.0,,0.0,5.0,,,,128859
,,,,2.0,,,2.0,,,,4.0,,,,4.0,2.0,,,,,,,,,0.0,,2.0,,2.0,,,2.0,,,,,,2.0,,,,,4.0,,,0.0,,,,,4.0,,,,2.0,,2.0,,,,2.0,,,,2.0,,,,,,,,2.0,,,,,,,62421
,,,1.0,,,2.0,1.0,,,,0.0,,,,1.0,1.0,,,,,3.0,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,0.0,3.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,6.0,71512
,,,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,5.0,173123
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,322424
5.0,,6.0,2.0,0.0,,0.0,0.0,0.0,2.0,,,2.0,,,0.0,1.0,,,,3.0,,0.0,,,,,1.0,4.0,0.0,,,,,,,0.0,,3.0,4.0,0.0,0.0,,4.0,,,3.0,0.0,6.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,1.0,,0.0,5.0,,,,,,,3.0,,,1.0,2.0,,2.0,1.0,,,,122444
,,,0.0,,,,0.0,,,,,,,,4.0,4.0,,,,,,,,0.0,,,4.0,,4.0,,,,,,,,,,,1.0,,,,,,4.0,,,,,4.0,,,6.0,5.0,,0.0,,4.0,,0.0,4.0,,,,,,,,,,,4.0,,,4.0,,,,38444
,,,,,,,4.0,,,,,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,4.0,,,4.0,,,,0.0,,,,,,,,,,,,,,,4.0,,,,278562
,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,,,5.0,2.0,,0.0,0.0,5.0,,,,,,,,,0.0,,,,,2.0,,,2.0,1.0,1.0,,6.0,0.0,,,,,,1.0,,,,1.0,,,,0.0,,,,,,,,0.0,,0.0,1.0,,1.0,0.0,326620
,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,2.0,0.0,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,200851
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,65760
,,,0.0,0.0,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,3.0,,1.0,,0.0,,,,,,,,,,,1.0,1.0,,,2.0,,1.0,,,,0.0,0.0,2.0,2.0,,0.0,,0.0,3.0,1.0,,0.0,2.0,,0.0,,,,,0.0,,,,0.0,,,,,,0.0,78302
0.0,1.0,,0.0,4.0,,,0.0,,,6.0,,,,,1.0,0.0,,,0.0,2.0,1.0,,,1.0,0.0,,5.0,5.0,0.0,,,0.0,6.0,,2.0,,,,,,,,0.0,1.0,,2.0,,,,0.0,1.0,,,,2.0,2.0,0.0,,6.0,3.0,1.0,,,,,6.0,,,,6.0,,,1.0,,,1.0,3.0,,3.0,316162
,,,2.0,6.0,,,2.0,,,6.0,,,,2.0,1.0,1.0,,,,,,,,,,,2.0,,0.0,0.0,3.0,3.0,,,,,,,,,0.0,,,,,6.0,,2.0,,5.0,1.0,,,,,6.0,0.0,,,,2.0,2.0,,,,,,,1.0,,2.0,,3.0,,0.0,,,,,307773
,,,2.0,,,,,,,,,,,,3.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,5.0,,,2.0,,,,,,,,,,,,,,,,,,,235627
,,,2.0,3.0,,,3.0,,,2.0,,,,,0.0,2.0,,,,,,,,,1.0,,4.0,,3.0,,,,,,2.0,,,4.0,,,,,,0.0,,6.0,,,,4.0,,,,4.0,,3.0,2.0,3.0,,,3.0,,,,,,,,1.0,,,,0.0,,0.0,3.0,,,,88123
,,,1.0,2.0,,,2.0,,,,,,,,2.0,1.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,2.0,,,2.0,,2.0,,,,,3.0,2.0,,,,0.0,,2.0,,5.0,2.0,,,,,,2.0,1.0,,3.0,1.0,,,,162092
1.0,2.0,,0.0,0.0,,,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,,,3.0,,0.0,,,,,,,,,,,,,,1.0,,,0.0,,2.0,,,0.0,,,1.0,,0.0,0.0,,,0.0,0.0,,,2.0,2.0,,,,0.0,,,,0.0,1.0,1.0,1.0,,,,308859
,,,6.0,4.0,,5.0,4.0,,,,4.0,,,,5.0,4.0,,,,,,,4.0,1.0,,,0.0,,0.0,0.0,,,,1.0,,,,,,,,,,,,4.0,,,,0.0,4.0,,,,,,4.0,,,,4.0,,,,4.0,,,,,0.0,,,0.0,,1.0,,,,,126441
,,,1.0,0.0,,0.0,1.0,,,,,,,,1.0,1.0,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,1.0,,,,,,1.0,,,,1.0,,,,,0.0,,,,,,,0.0,,,1.0,,,,301774
,,4.0,0.0,0.0,,,0.0,,,,,6.0,,,0.0,0.0,,,,6.0,,,,0.0,6.0,,0.0,,0.0,,,,,,,,,,,,,,4.0,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,4.0,0.0,4.0,0.0,,,4.0,,,,,,,,0.0,,6.0,4.0,,,,337838
,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,,0.0,,,,,,,,,,,,,,,3.0,,,,,,,159720
,,,0.0,,,,2.0,,,,2.0,,,,2.0,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,2.0,,,2.0,2.0,0.0,,,0.0,,,,2.0,,0.0,,,0.0,,,,,2.0,,,,,,0.0,0.0,1.0,,0.0,0.0,,,,212661
,4.0,0.0,0.0,6.0,,2.0,1.0,,,,,,,,1.0,0.0,,0.0,,,,,1.0,1.0,1.0,,4.0,5.0,0.0,0.0,,0.0,,,6.0,1.0,,,0.0,,,,,0.0,,3.0,5.0,0.0,0.0,,0.0,,,,3.0,,2.0,,,,2.0,1.0,,,1.0,,,0.0,0.0,,0.0,,0.0,,4.0,,0.0,,0.0,82455
,,,,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,0.0,,,,,,,,,,0.0,,1.0,,2.0,,,,,,,1.0,1.0,,,0.0,,,0.0,,0.0,2.0,,,,,,,,,,,,,0.0,,,,,,,171326
,,,3.0,2.0,,2.0,1.0,,,,,,,,2.0,3.0,,,,,2.0,,,,1.0,,,,3.0,,,,,,,,,2.0,,,1.0,,,,,6.0,,3.0,,,,,,,,,2.0,,,,,,,,,,,,3.0,,,,3.0,,2.0,,,,,260873
,,,3.0,1.0,5.0,,2.0,,,,,5.0,,,2.0,2.0,6.0,,,,,,,,,,,,3.0,,,,,,,5.0,,2.0,,,5.0,,2.0,4.0,,2.0,2.0,2.0,,3.0,2.0,,,,,,2.0,,,2.0,2.0,,5.0,,,,,,,,2.0,,1.0,,2.0,2.0,,,5.0,249635
6.0,6.0,6.0,2.0,0.0,,2.0,0.0,6.0,,,,5.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,6.0,,,,,,,,0.0,,,0.0,,6.0,,,,,,,,0.0,,,,2.0,4.0,,,,,,,,,,,0.0,,,,,,,338226
,,,0.0,0.0,,,0.0,,,0.0,0.0,3.0,,,3.0,0.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,0.0,3.0,,,,133195
,,,0.0,0.0,,2.0,1.0,2.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,,,,,,,2.0,,,2.0,,0.0,,,,,,,,,4.0,,,1.0,,0.0,,,4.0,4.0,,6.0,1.0,0.0,,5.0,1.0,4.0,0.0,0.0,,2.0,,,,,,,,,,,,,,2.0,,0.0,0.0,,,,241958
,,,3.0,5.0,,,5.0,,,,,,,,5.0,5.0,,5.0,,,,,,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,0.0,5.0,,,,,,,,,,,,,,,,,5.0,,,,,183544
,,,3.0,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,,,,,1.0,,,1.0,,4.0,,5.0,,,,,,,,6.0,,6.0,,,,6.0,,,,,152542
,4.0,1.0,0.0,1.0,5.0,,0.0,1.0,,0.0,,,,,0.0,0.0,1.0,3.0,,,,,,,,1.0,5.0,,2.0,,,,,,,,,,,,,,,5.0,1.0,0.0,4.0,,,3.0,1.0,,0.0,1.0,0.0,0.0,0.0,,1.0,5.0,1.0,,0.0,,1.0,,,,,,,0.0,0.0,1.0,2.0,4.0,,,4.0,276924
1.0,,,,3.0,,,0.0,,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,1.0,,,,,3.0,3.0,,,,,,,,3.0,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,121805
,,,0.0,0.0,,,0.0,,,,0.0,,,,0.0,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,80922
0.0,0.0,0.0,0.0,0.0,,5.0,0.0,1.0,,,1.0,5.0,,5.0,0.0,0.0,,,5.0,5.0,,,,,2.0,2.0,0.0,,0.0,,,,,,,,,,,,,,1.0,1.0,,0.0,,,,,0.0,5.0,,0.0,0.0,0.0,0.0,,1.0,2.0,0.0,0.0,,,,0.0,2.0,,,0.0,,,0.0,,0.0,6.0,,,0.0,271207
,,,0.0,3.0,,,4.0,,2.0,,3.0,3.0,,,0.0,0.0,,,,,,,,,,,0.0,3.0,0.0,,,,,,,,,,2.0,2.0,3.0,,,,,2.0,,,,0.0,1.0,,,,,2.0,0.0,0.0,,5.0,5.0,3.0,,,,,,,,,,,2.0,,4.0,,,,3.0,173920
,,,0.0,0.0,,6.0,0.0,,,,,,,,2.0,0.0,,0.0,,5.0,,1.0,6.0,,,,0.0,,0.0,,,,,,,,,,,,1.0,,2.0,,,4.0,1.0,,,0.0,4.0,6.0,,0.0,5.0,2.0,0.0,,0.0,,0.0,,4.0,,,5.0,,,,,,,1.0,,4.0,,,,,63267
,,2.0,0.0,0.0,2.0,0.0,2.0,,,5.0,5.0,3.0,,,4.0,0.0,2.0,4.0,,,,,,5.0,3.0,4.0,5.0,,0.0,,,4.0,,,0.0,,,,0.0,,1.0,,,,,0.0,4.0,2.0,2.0,2.0,1.0,,0.0,,4.0,,0.0,0.0,2.0,,0.0,4.0,,,4.0,,,,,,,,0.0,0.0,2.0,2.0,,,,254117
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,89035
,,,,2.0,0.0,,2.0,,,,,,,,4.0,0.0,,,2.0,,,,,2.0,,,4.0,,2.0,,,,,,2.0,,,,1.0,,,,3.0,2.0,0.0,4.0,,4.0,,1.0,3.0,,,,,,2.0,,4.0,3.0,2.0,,,,,0.0,,,,,,2.0,0.0,,3.0,3.0,,,,182640
,,,0.0,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,0.0,4.0,0.0,,,,,0.0,,,,0.0,,,,,4.0,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,4.0,208580
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,6.0,,,2.0,6.0,,,,,,,,,,,,,,,,,,,214658
,,,0.0,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,190882
,,1.0,0.0,2.0,,,3.0,,,,2.0,,,,2.0,0.0,2.0,,2.0,,,,,4.0,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,2.0,,4.0,,1.0,2.0,2.0,0.0,3.0,2.0,0.0,,,3.0,,,,,,,,,0.0,,,4.0,,,0.0,42326
