uid,age_bucket,unknown_label
119338,65-74,0
269410,na,0
277830,35-44,0
329664,na,1
171050,45-54,0
260160,45-54,1
74173,na,0
287763,na,1
243912,55-64,0
273510,na,0
249485,35-44,0
219421,45-54,0
209404,45-54,0
221040,65-74,0
286184,na,1
256744,18-24,0
213117,35-44,1
314968,65-74,1
305072,na,0
72144,35-44,0
47533,45-54,1
150953,45-54,0
185058,35-44,0
297645,na,1
245081,65-74,0
316263,25-34,1
269032,65-74,0
298360,na,1
189016,25-34,0
1959,45-54,0
12059,25-34,0
278620,na,1
295774,na,0
60163,35-44,0
234608,35-44,1
48436,35-44,1
218771,25-34,0
185370,25-34,0
318469,na,1
63921,55-64,1
139028,25-34,0
249461,25-34,0
215555,55-64,0
2710,45-54,0
64882,35-44,0
213467,35-44,0
65350,35-44,0
164155,25-34,0
54991,na,1
245833,na,0
180133,35-44,0
200186,25-34,0
78551,45-54,1
156165,na,0
74114,25-34,0
245061,25-34,0
33457,45-54,0
137201,na,0
113434,25-34,0
133648,18-24,0
265372,na,0
333135,35-44,0
64332,45-54,0
186728,na,0
97344,18-24,1
111749,na,0
87864,25-34,0
124500,55-64,0
263422,18-24,0
36714,35-44,1
191588,na,1
105616,na,1
135372,na,1
338638,75-84,1
92705,45-54,0
89755,na,1
136269,55-64,0
251403,45-54,1
121247,25-34,0
276279,na,0
236517,25-34,1
44995,45-54,1
47860,25-34,0
55201,na,1
278687,35-44,0
193395,25-34,1
211436,na,0
51920,18-24,1
48300,25-34,0
156654,35-44,0
113780,35-44,0
252024,25-34,1
313832,45-54,0
239067,65-74,0
176562,25-34,0
274425,18-24,0
79728,25-34,1
115909,35-44,0
21093,55-64,0
36493,35-44,1
13700,55-64,0
35333,35-44,0
213517,25-34,0
231553,55-64,1
197294,65-74,1
138231,na,0
253251,45-54,0
39828,55-64,0
49128,na,0
87207,na,1
332134,25-34,0
96166,45-54,1
30808,55-64,0
198787,25-34,0
51495,35-44,1
326771,na,0
166385,45-54,1
221286,25-34,0
147097,na,1
64674,25-34,1
336868,55-64,0
135138,na,0
333171,35-44,0
272841,65-74,1
175946,55-64,1
134700,na,1
279051,na,0
162347,45-54,0
313148,55-64,1
192834,35-44,1
247497,na,0
320190,35-44,0
190671,35-44,0
332072,na,0
205788,na,1
216447,25-34,0
23955,25-34,1
64479,na,1
250652,35-44,0
292109,55-64,1
7416,45-54,0
258128,na,0
295965,45-54,0
47233,65-74,0
296998,na,0
105002,65-74,0
107171,na,0
243751,35-44,0
176502,55-64,0
402,25-34,0
338711,55-64,0
178536,35-44,0
124188,na,0
262227,45-54,0
231544,45-54,1
190193,45-54,1
81724,25-34,0
337830,45-54,0
300185,25-34,0
310206,na,0
290683,35-44,0
219597,35-44,0
229986,45-54,0
235627,25-34,1
110801,25-34,1
113346,45-54,0
277532,25-34,1
165412,35-44,1
201515,na,0
7898,55-64,0
36813,45-54,0
105252,45-54,1
315843,75-84,1
106504,18-24,1
313667,18-24,1
38161,18-24,0
319265,35-44,1
311963,45-54,0
61698,na,0
210072,25-34,0
287919,25-34,0
211412,35-44,1
249430,65-74,1
65522,45-54,0
78701,25-34,0
127529,35-44,0
32087,45-54,1
64771,55-64,1
140726,35-44,0
322170,55-64,1
52634,45-54,0
244127,18-24,0
142666,25-34,0
118675,25-34,1
17918,18-24,1
335581,35-44,0
50400,25-34,0
121110,35-44,0
79699,35-44,1
7339,na,1
100899,na,1
230461,na,0
7575,25-34,1
329434,55-64,0
211578,na,1
229257,35-44,0
18491,35-44,0
326792,25-34,1
220373,35-44,0
285882,45-54,1
110472,35-44,0
130669,45-54,0
197325,25-34,1
307818,na,0
263978,45-54,1
276502,45-54,0
41685,35-44,1
144346,35-44,0
74239,35-44,1
321142,na,0
220217,18-24,1
281631,na,1
263564,75-84,1
228108,na,0
339615,18-24,0
148774,25-34,0
83864,35-44,0
91111,25-34,0
330159,45-54,1
151728,55-64,0
300163,45-54,0
193478,na,1
137568,45-54,1
332540,25-34,1
151651,25-34,0
109061,35-44,0
62103,35-44,0
287180,18-24,0
240185,75-84,0
37832,na,1
109904,25-34,0
130290,na,0
195599,na,0
202469,35-44,1
38869,55-64,0
193326,na,0
250385,55-64,0
121375,45-54,0
253989,na,1
135802,55-64,1
187209,25-34,0
120943,45-54,0
173724,45-54,1
52007,65-74,1
324004,35-44,0
316762,25-34,1
146649,45-54,0
157308,25-34,1
26522,na,0
257744,na,1
320142,na,1
232817,45-54,0
222682,45-54,0
168465,35-44,0
89442,na,0
296815,25-34,1
312909,45-54,0
101137,45-54,1
142872,na,0
211905,35-44,0
17061,35-44,0
20396,18-24,1
260037,25-34,1
247307,35-44,0
216009,55-64,0
249111,45-54,0
6978,45-54,0
27392,na,0
214521,35-44,0
248894,25-34,0
228875,45-54,0
137705,45-54,1
184685,45-54,0
331731,45-54,0
243293,25-34,0
293552,35-44,0
332123,55-64,0
300777,18-24,1
108800,na,0
16915,35-44,0
88757,18-24,1
92316,na,0
237075,35-44,1
31618,na,0
294944,35-44,1
225147,75-84,1
265558,25-34,0
171559,25-34,0
313320,55-64,1
192638,35-44,0
174621,na,0
120638,65-74,1
59917,45-54,1
72782,25-34,0
265783,25-34,1
224313,45-54,0
160559,35-44,0
174779,45-54,0
88892,18-24,0
282573,55-64,0
228198,na,0
252364,na,1
92029,35-44,1
122132,18-24,1
194264,na,1
167136,55-64,0
213907,25-34,0
275963,55-64,1
225431,35-44,1
146512,35-44,0
105411,18-24,0
102474,na,1
148738,55-64,0
286607,na,0
126460,25-34,0
230774,45-54,0
335357,45-54,0
334996,25-34,1
263975,45-54,0
256603,65-74,1
227882,25-34,1
307921,na,0
95658,na,1
185113,25-34,0
52048,45-54,0
46739,na,1
297331,na,0
220334,na,1
308152,35-44,1
322448,55-64,0
71144,45-54,0
326167,na,1
36469,25-34,1
235847,45-54,0
228303,25-34,0
57770,25-34,0
321591,25-34,0
23654,na,0
221668,25-34,0
224666,45-54,0
86097,25-34,0
81513,na,0
325590,na,1
128855,na,0
231259,25-34,0
336288,35-44,0
127061,18-24,1
220651,25-34,0
630,18-24,1
262347,35-44,0
270482,65-74,0
90698,na,0
305782,55-64,1
123482,na,1
209642,na,0
38444,55-64,1
2094,55-64,0
211502,na,1
306443,45-54,1
317950,55-64,0
16120,45-54,0
206934,35-44,1
94236,25-34,0
325953,55-64,0
3805,na,0
224483,25-34,0
161821,55-64,0
65892,na,0
154200,45-54,0
302684,65-74,1
113591,35-44,0
200712,65-74,0
59516,35-44,0
45640,25-34,0
144090,55-64,1
44199,35-44,0
158586,na,1
126278,45-54,0
224748,45-54,0
153644,35-44,1
25287,na,0
297318,25-34,0
324558,35-44,1
250224,55-64,0
126543,na,0
317228,18-24,0
267629,45-54,0
186384,18-24,1
220189,25-34,0
33381,18-24,1
126675,35-44,0
273808,25-34,1
282876,45-54,1
191123,45-54,0
259860,35-44,0
74413,35-44,0
124873,35-44,0
146742,na,1
213461,na,0
61936,55-64,0
132868,45-54,1
22376,55-64,1
34652,65-74,1
233641,25-34,1
264915,na,1
296253,25-34,0
320636,45-54,1
140437,55-64,0
242061,18-24,1
66209,55-64,0
304397,45-54,1
245138,35-44,0
182940,35-44,0
156562,25-34,1
33858,65-74,1
277328,na,1
187339,35-44,0
336797,55-64,0
153025,55-64,0
174086,55-64,1
64231,25-34,0
322344,35-44,1
286159,45-54,1
279366,45-54,0
262651,na,1
86173,18-24,0
113684,18-24,0
76531,25-34,0
335496,55-64,0
213294,na,1
322777,45-54,0
71788,45-54,0
290234,45-54,0
196117,25-34,0
216700,35-44,1
115824,35-44,0
69185,35-44,0
177210,45-54,0
246120,35-44,0
56479,na,0
95735,45-54,0
246662,35-44,0
73773,45-54,0
115893,25-34,0
8342,na,0
41771,25-34,1
17770,35-44,1
24152,45-54,0
93921,35-44,0
278024,35-44,0
230505,35-44,1
222766,45-54,1
316777,na,1
207486,25-34,1
30798,35-44,0
207038,18-24,1
130145,45-54,0
9307,45-54,1
98365,25-34,0
182018,25-34,1
103350,35-44,0
193757,25-34,1
207247,45-54,0
17280,25-34,1
328432,25-34,0
66333,25-34,0
73336,65-74,1
103888,75-84,1
248442,25-34,0
129190,55-64,0
224775,45-54,0
286767,45-54,0
315859,na,0
97134,55-64,0
127059,65-74,1
60731,25-34,0
263938,45-54,1
120398,45-54,0
281678,18-24,0
42326,25-34,1
323732,25-34,0
234810,45-54,1
245350,35-44,0
158402,45-54,0
291049,45-54,1
221835,35-44,1
241288,25-34,0
109235,35-44,0
302881,35-44,1
173234,na,0
271207,45-54,1
252401,45-54,0
17327,na,0
206963,35-44,0
288819,na,0
253189,25-34,1
115871,25-34,1
31278,35-44,0
56616,55-64,0
190983,25-34,1
138461,18-24,0
19260,35-44,0
82901,55-64,0
190132,45-54,0
289518,45-54,0
289327,65-74,1
293111,na,1
290710,55-64,0
179564,55-64,0
201668,25-34,0
21775,25-34,1
210260,18-24,0
86766,35-44,0
231999,25-34,0
110889,18-24,1
4699,45-54,0
187154,25-34,0
267569,na,0
316779,25-34,0
195982,25-34,0
236777,18-24,1
304658,18-24,1
262520,35-44,0
73995,25-34,1
336994,35-44,1
32752,na,0
233297,35-44,0
230306,55-64,0
276529,45-54,0
147724,55-64,0
182679,25-34,1
173580,25-34,0
75192,55-64,1
322838,35-44,1
94611,55-64,1
205674,25-34,1
308906,55-64,0
129747,45-54,1
236410,na,0
305143,na,0
321094,18-24,1
48231,45-54,0
79266,45-54,1
251773,na,1
226682,35-44,0
66407,55-64,0
331554,25-34,0
63130,55-64,0
117498,85+,1
95481,18-24,1
318082,55-64,1
281937,35-44,0
79917,65-74,1
333309,45-54,0
218118,na,0
83771,35-44,0
255536,45-54,1
9739,25-34,0
248978,na,0
33414,25-34,0
63714,18-24,1
162510,35-44,0
242444,35-44,1
271118,25-34,0
272868,55-64,0
268914,55-64,0
223953,45-54,0
168366,55-64,1
169848,18-24,0
165629,na,0
325730,35-44,0
319491,35-44,1
70518,35-44,0
338116,na,0
254681,18-24,1
219488,na,0
63960,75-84,1
65438,25-34,0
74925,25-34,0
275994,35-44,0
168507,45-54,1
205583,25-34,1
67425,35-44,1
39743,25-34,0
127610,25-34,0
88884,35-44,0
293968,55-64,0
90453,45-54,0
44170,45-54,0
289286,18-24,0
283386,25-34,1
51753,18-24,1
17780,45-54,1
284294,45-54,1
231189,55-64,0
5219,35-44,0
163906,65-74,0
340268,25-34,1
303129,na,0
279285,45-54,1
67583,55-64,0
335167,18-24,1
67109,na,0
178137,45-54,1
215050,85+,0
119101,25-34,0
107423,35-44,0
274642,35-44,0
274896,35-44,0
166601,65-74,0
141491,35-44,1
26883,na,1
223123,35-44,0
196742,35-44,0
116657,35-44,0
230811,25-34,1
232651,45-54,0
181934,25-34,1
39590,45-54,0
300119,55-64,1
25571,18-24,0
8428,35-44,0
215930,35-44,1
251488,35-44,0
102051,55-64,1
248167,18-24,1
46387,35-44,0
49993,45-54,0
41428,25-34,1
303708,na,0
74002,45-54,0
8496,45-54,0
322941,25-34,1
320505,35-44,0
326033,55-64,0
267114,45-54,1
316368,na,0
159341,55-64,1
111136,65-74,1
277937,na,0
259745,45-54,1
252860,35-44,0
63489,35-44,1
84317,18-24,0
66375,55-64,0
307233,na,0
178467,25-34,0
183774,na,1
93680,45-54,1
260156,45-54,0
322239,55-64,0
192992,35-44,0
226918,25-34,1
15220,25-34,0
114874,na,0
7869,45-54,0
145421,55-64,1
813,45-54,1
244033,35-44,0
155487,35-44,0
279391,na,1
5837,35-44,1
250901,45-54,1
254502,25-34,1
309043,18-24,1
272170,35-44,0
46582,25-34,0
328851,na,0
196710,na,0
217281,na,1
323306,na,1
334256,na,0
221810,55-64,0
173937,35-44,1
91036,25-34,1
232148,na,1
272885,na,1
230731,45-54,0
77997,25-34,0
130121,35-44,0
230980,25-34,0
136406,65-74,1
166735,35-44,1
224928,35-44,0
193190,25-34,1
31537,25-34,0
127839,45-54,0
275933,25-34,0
277598,55-64,0
231394,25-34,0
99434,18-24,1
147514,35-44,1
307564,na,1
252142,na,0
167571,25-34,1
166547,45-54,0
162964,na,1
224989,25-34,1
146623,35-44,0
271476,45-54,0
70794,55-64,1
334001,45-54,0
283160,25-34,1
268113,na,0
48013,35-44,0
193247,45-54,0
273724,55-64,0
17929,65-74,1
106963,25-34,1
50532,na,0
237677,18-24,1
201843,45-54,1
275638,45-54,0
162196,na,0
135258,25-34,0
194994,na,1
170649,35-44,0
146530,18-24,0
199918,18-24,1
72551,45-54,1
108808,18-24,0
127962,na,1
322279,55-64,0
98336,25-34,0
230521,35-44,1
69243,na,0
302666,45-54,0
107200,65-74,1
54544,35-44,0
127385,na,1
128076,25-34,0
239103,25-34,0
323703,35-44,0
283088,25-34,0
220935,na,0
107968,18-24,1
103368,35-44,0
54564,45-54,1
292334,25-34,1
325178,45-54,0
269520,45-54,0
264197,55-64,0
239662,na,1
134097,na,0
51326,35-44,0
227947,65-74,0
123964,35-44,0
95504,55-64,0
163549,25-34,0
135504,18-24,1
87565,35-44,0
194544,25-34,0
153687,45-54,0
184660,na,0
305859,na,1
61104,18-24,0
293893,35-44,0
287688,25-34,0
42278,18-24,0
325503,35-44,1
167461,45-54,1
138678,25-34,0
286658,na,0
105930,55-64,0
154653,18-24,1
109381,25-34,1
237325,na,0
134048,35-44,0
55444,75-84,1
244823,na,0
162998,45-54,0
278514,18-24,1
272250,25-34,0
265945,45-54,0
10567,18-24,1
32928,45-54,0
112367,45-54,1
56890,45-54,0
71731,35-44,0
242324,25-34,0
145243,35-44,0
98657,65-74,0
14518,45-54,0
138883,25-34,0
145595,55-64,0
339942,na,0
232210,65-74,0
167699,55-64,0
324532,35-44,1
34357,65-74,0
204680,na,1
179588,45-54,0
212017,18-24,1
184529,na,1
10015,65-74,1
82686,65-74,0
324027,na,0
156254,65-74,0
251814,45-54,0
156770,35-44,1
140448,25-34,1
42764,55-64,0
129530,na,0
192770,na,1
228267,25-34,0
128588,na,0
6352,45-54,0
326300,65-74,1
173087,55-64,0
208995,na,0
215988,na,0
191722,35-44,0
266250,65-74,1
289776,na,0
208799,45-54,1
329205,25-34,1
15998,na,1
272533,35-44,0
2902,18-24,1
121781,35-44,0
182715,na,1
108671,18-24,1
89894,18-24,0
288709,na,1
183611,na,1
167422,55-64,0
130944,na,1
210099,18-24,0
288966,18-24,0
262881,45-54,0
82428,25-34,0
329963,35-44,0
307798,35-44,0
4039,45-54,1
206535,18-24,0
196685,55-64,1
152636,35-44,0
239397,35-44,1
233897,35-44,0
78408,35-44,0
100374,na,1
113605,45-54,0
309372,55-64,0
96513,na,0
136682,25-34,1
252699,na,0
159721,45-54,1
183466,55-64,0
94077,25-34,1
112751,na,0
100784,45-54,0
243988,na,0
7873,65-74,1
237453,na,0
264225,45-54,1
190635,na,0
6315,na,0
275831,45-54,1
291868,35-44,0
252662,25-34,0
308748,45-54,0
179618,na,0
197136,25-34,0
211050,35-44,0
253726,na,0
147509,18-24,0
149389,18-24,0
152617,na,0
196977,45-54,1
179169,na,0
280722,18-24,0
146341,45-54,0
95424,25-34,1
300362,25-34,0
174563,35-44,0
223668,na,0
223092,45-54,0
276190,35-44,0
212949,na,1
301402,55-64,1
160067,55-64,1
79808,na,0
54567,35-44,1
34130,65-74,0
199575,35-44,0
232838,65-74,1
21193,35-44,1
296761,45-54,0
283639,35-44,1
137772,25-34,0
311043,na,0
33775,25-34,0
17031,35-44,0
16705,55-64,1
119767,55-64,1
161322,na,0
57436,45-54,1
218520,55-64,0
46990,25-34,0
116726,45-54,0
268527,25-34,1
270325,55-64,0
209700,na,1
153772,18-24,0
187176,35-44,0
36707,25-34,1
267497,na,0
285748,45-54,0
286234,35-44,0
309626,55-64,0
198817,na,0
232425,35-44,0
57185,25-34,1
73004,18-24,0
64918,35-44,1
178276,25-34,1
291523,na,0
708,55-64,0
55655,35-44,1
330506,25-34,0
293714,18-24,1
290731,45-54,0
122982,na,1
285030,na,0
254957,18-24,1
280789,na,0
330449,18-24,1
293452,25-34,0
87457,45-54,0
325324,25-34,0
34589,35-44,0
312246,na,1
73039,35-44,1
192009,na,0
326376,45-54,0
65159,na,0
285539,na,0
280027,45-54,0
295127,45-54,0
179919,55-64,0
27090,35-44,0
267393,35-44,0
18471,na,0
223290,na,0
283786,18-24,0
111748,45-54,0
232054,55-64,0
164718,35-44,1
115603,na,1
133756,35-44,0
8782,55-64,0
275797,25-34,1
283993,55-64,1
253209,na,0
299695,35-44,1
143408,35-44,0
45890,25-34,0
63049,25-34,0
186962,35-44,0
15049,55-64,0
61319,25-34,1
29955,45-54,0
194771,na,0
268565,35-44,0
229682,55-64,0
238513,45-54,1
188841,35-44,0
264978,35-44,0
327215,35-44,0
61695,na,1
42017,25-34,1
313887,35-44,0
224589,18-24,1
318660,na,1
104631,45-54,0
39999,55-64,0
150637,na,1
160904,45-54,1
336661,65-74,0
60244,45-54,0
170683,25-34,0
96126,25-34,1
178944,na,1
332542,25-34,0
183070,45-54,0
178828,25-34,0
47531,55-64,0
203280,45-54,0
251559,45-54,1
104667,55-64,1
332469,35-44,0
110855,na,0
121592,na,0
122940,35-44,0
22314,na,0
237261,45-54,0
309017,35-44,0
292091,25-34,1
112939,25-34,0
298674,18-24,1
98569,45-54,1
180211,55-64,0
204021,na,1
126877,55-64,1
261062,35-44,0
293480,35-44,0
237003,18-24,1
252165,25-34,0
240132,25-34,0
215790,55-64,0
217580,35-44,0
48226,na,0
267900,45-54,1
182858,65-74,0
77252,35-44,0
256468,45-54,0
164025,45-54,1
125049,35-44,0
236893,45-54,0
113777,25-34,0
328652,25-34,1
251641,25-34,0
254030,55-64,1
273698,25-34,0
290292,na,1
6242,na,0
298106,na,0
176258,na,0
228615,na,0
264099,35-44,0
209737,55-64,1
27306,18-24,1
225171,na,0
21464,35-44,0
193296,45-54,0
225896,na,0
145341,45-54,0
267321,35-44,0
266058,35-44,0
205828,na,0
299487,55-64,0
156002,na,1
81612,25-34,1
258030,na,0
10797,18-24,1
268581,na,1
290432,45-54,0
134608,na,0
191996,na,0
107417,35-44,0
56706,25-34,0
134136,45-54,0
157383,35-44,1
54518,25-34,0
10325,35-44,1
194546,18-24,0
67713,35-44,0
59206,45-54,0
4153,25-34,1
170348,35-44,1
193194,25-34,1
272608,55-64,0
160975,18-24,1
241970,55-64,0
242980,25-34,0
63890,35-44,0
340241,45-54,0
81179,45-54,1
79974,18-24,0
335003,na,1
237240,35-44,1
174396,25-34,0
253517,45-54,0
265145,na,1
200357,45-54,0
213795,65-74,0
112102,25-34,1
198752,na,1
65760,35-44,1
261289,na,1
237536,25-34,0
305474,25-34,1
302579,25-34,0
16076,35-44,0
73792,25-34,1
167168,55-64,0
220742,na,0
179443,na,0
154024,35-44,1
11923,45-54,0
169929,45-54,0
277294,65-74,1
106375,18-24,1
299977,25-34,1
107420,35-44,0
67709,25-34,0
122657,35-44,1
331660,na,0
305155,45-54,0
307321,25-34,1
55890,25-34,1
120475,65-74,1
166435,35-44,1
166254,65-74,0
83853,35-44,1
47720,na,1
260483,35-44,0
126360,25-34,0
51760,na,0
255991,25-34,1
72455,25-34,0
203414,na,0
249979,na,1
320589,25-34,0
340057,18-24,1
130424,na,0
198438,25-34,0
190008,na,0
1490,25-34,1
248628,18-24,1
222329,35-44,0
170272,25-34,1
114092,18-24,1
237406,25-34,0
203757,35-44,1
313376,na,0
236672,35-44,0
205813,55-64,0
309186,na,1
155006,35-44,0
42067,25-34,0
109676,na,1
269701,35-44,0
162459,45-54,0
67743,55-64,1
172986,na,1
194362,25-34,0
4296,35-44,1
320956,35-44,1
147075,na,0
278626,25-34,0
208411,na,0
244156,18-24,0
104892,35-44,1
41291,45-54,0
217835,25-34,0
314076,55-64,0
284633,25-34,0
151896,55-64,0
43878,25-34,1
94117,na,0
217660,55-64,1
170873,na,0
127241,55-64,0
247777,18-24,1
329424,25-34,0
254987,25-34,0
264069,35-44,1
136191,na,0
35737,55-64,1
231514,35-44,1
270218,na,0
131745,55-64,0
83997,35-44,0
186460,25-34,1
190749,25-34,0
329441,35-44,0
332116,25-34,1
27417,na,0
42632,35-44,0
310712,65-74,1
216342,25-34,0
295578,35-44,0
247395,na,0
289385,18-24,1
221205,25-34,0
30544,35-44,0
297941,35-44,1
314439,25-34,0
11480,45-54,1
163254,25-34,0
58384,55-64,0
36791,55-64,1
171419,na,0
176221,na,0
228067,35-44,0
232949,65-74,1
140008,35-44,0
62832,35-44,1
108312,18-24,0
251804,35-44,0
131455,35-44,0
228616,55-64,1
239845,25-34,0
94999,45-54,0
205474,55-64,0
42005,45-54,1
281637,35-44,0
248749,35-44,0
276609,35-44,0
216798,35-44,0
172878,na,1
161070,na,0
240309,55-64,0
180517,25-34,0
103830,25-34,1
75262,25-34,1
170516,na,0
247351,45-54,0
249582,na,1
54582,25-34,1
54200,25-34,1
320089,na,1
273594,55-64,0
327278,65-74,1
14665,75-84,1
42966,35-44,1
49902,25-34,0
165309,55-64,1
320127,45-54,0
225123,35-44,1
155256,45-54,1
302375,na,1
242699,na,1
14932,55-64,0
146069,55-64,0
216449,65-74,0
97197,18-24,1
265193,na,1
152326,25-34,1
310611,25-34,1
337401,55-64,1
313279,35-44,0
229190,45-54,0
139890,25-34,0
170907,25-34,0
160282,na,0
243739,65-74,0
332152,55-64,1
175804,35-44,0
64532,55-64,1
303561,35-44,0
121115,45-54,0
159959,35-44,0
286383,25-34,0
1858,25-34,0
