uid,movement_activity_0,movement_activity_1,movement_activity_2,movement_activity_3,movement_activity_4,movement_activity_5,movement_activity_6,movement_activity_7,movement_activity_8,stationarity_0,stationarity_1,stationarity_2,movement_activity_9,movement_activity_10,movement_activity_11,movement_activity_12,movement_activity_13,movement_activity_14,movement_activity_15,movement_activity_16,movement_activity_17,movement_activity_18,movement_activity_19,movement_activity_20,movement_activity_21,movement_activity_22
47239,0.0,0.0,2.0,0.0,260025.0,130012.5,1.0,0.0,233759.0,495046.0,431582.0,526301.0,0.0,0.0,1.0,2.0,26266.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,3.0
58890,11.0,8.0,88.0,755836.205342,358006.0,2693.0,83.0,1695.94502118,2700.0,25200.0,5127.0,47700.0,26.0,11.0,59.0,22.0,2686.0,13.0,17.0,4.0,10.0,25.0,12.0,31.0,664.0,89.0
312530,0.0,11.0,49.0,841713.578344,243738.0,2631.0,44.0,21819.1038343,2665.5,61814.0,4500.0,91290.8,21.0,6.0,33.0,20.0,2061.0,1.0,0.0,0.0,5.0,24.0,13.0,31.0,188.0,50.0
134633,1.0,6.0,82.0,524456.575819,381793.0,1792.5,75.0,3424.35896095,1674.0,25385.0,4602.0,54143.8,27.0,19.0,47.0,22.0,2021.0,17.0,3.0,0.0,18.0,13.0,20.0,31.0,387.0,83.0
97335,0.0,2.0,70.0,1650808.11829,344337.0,2730.5,59.0,22183.5468743,2449.0,32913.0,4994.6,54022.2,30.0,19.0,40.0,20.0,3431.5,7.0,0.0,17.0,7.0,8.0,17.0,31.0,942.0,71.0
166887,0.0,1.0,57.0,270268.740793,283054.0,1350.0,52.0,5189.70295975,750.5,34212.5,7000.5,84912.9,10.0,4.0,37.0,20.0,615.0,8.0,2.0,0.0,19.0,8.0,4.0,31.0,184.0,58.0
140856,0.0,4.0,69.0,487225.850148,373876.0,3212.0,60.0,3248.79996296,3005.5,35089.0,4500.0,57729.6,15.0,12.0,46.0,21.0,2584.5,12.0,0.0,0.0,28.0,10.0,5.0,31.0,363.0,70.0
79148,0.0,8.0,43.0,441990.7221,195570.0,970.0,39.0,16742.397715,894.0,21900.0,3934.5,165702.0,17.0,7.0,26.0,14.0,923.5,2.0,0.0,0.0,7.0,20.0,7.0,30.0,258.0,44.0
14404,0.0,0.0,4.0,7814.53259184,1436658.0,363379.5,4.0,1953.63314796,363379.5,86056.0,17469.0,141512.0,0.0,0.0,4.0,20.0,363379.5,1.0,0.0,1.0,0.0,1.0,1.0,21.0,32.0,5.0
103080,1.0,6.0,70.0,454440.012683,630029.0,3610.0,67.0,4880.27082983,3620.0,10218.0,3939.6,65873.6,14.0,9.0,55.0,18.0,4943.0,6.0,5.0,18.0,11.0,15.0,8.0,31.0,933.0,71.0
292242,1.0,0.0,35.0,578462.577321,381457.0,2777.0,30.0,18787.8139353,2663.5,35183.5,8920.5,184765.3,16.0,4.0,31.0,18.0,2700.0,1.0,1.0,11.0,0.0,5.0,10.0,31.0,131.0,36.0
104431,1.0,5.0,89.0,718905.499151,320553.0,1499.0,84.0,10633.3606766,1511.5,27214.0,5323.5,52932.9,34.0,12.0,64.0,21.0,1198.0,10.0,2.0,20.0,5.0,25.0,13.0,31.0,307.0,90.0
110697,2.0,2.0,40.0,17639.2403959,473219.0,6280.5,34.0,366.23439027,6746.0,30600.0,7200.0,167682.2,11.0,8.0,32.0,22.0,7504.5,9.0,4.0,8.0,2.0,1.0,6.0,31.0,144.0,41.0
283734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0
295675,1.0,0.0,51.0,307095.882254,324313.0,3121.0,43.0,5572.81173611,1678.0,32784.5,8709.5,135013.2,15.0,13.0,45.0,20.0,1831.0,6.0,3.0,0.0,18.0,6.0,7.0,31.0,132.0,52.0
130566,0.0,9.0,49.0,139215.035173,305128.0,1800.0,42.0,2397.14634432,1192.0,14811.0,4819.3,117083.1,19.0,10.0,31.0,19.0,1291.0,3.0,2.0,0.0,10.0,16.0,10.0,31.0,170.0,50.0
234764,3.0,9.0,100.0,914571.700031,432061.0,1800.0,94.0,9886.81017056,1775.5,16200.0,4437.8,48095.6,23.0,16.0,63.0,21.0,1800.0,31.0,14.0,12.0,4.0,11.0,18.0,31.0,857.0,101.0
156460,0.0,2.0,14.0,27695.8029653,237507.0,6713.5,10.0,1666.41554049,5325.5,147991.0,22515.4,333576.4,2.0,2.0,9.0,13.0,7199.0,0.0,0.0,0.0,6.0,2.0,1.0,31.0,23.0,15.0
312934,0.0,0.0,16.0,8051.20432151,173525.0,4431.5,12.0,0.0,3879.0,94307.0,58784.6,318288.0,10.0,10.0,12.0,15.0,3161.5,2.0,0.0,0.0,0.0,2.0,7.0,31.0,60.0,17.0
96889,5.0,8.0,99.0,334311.82129,1377339.0,7531.0,84.0,4008.38807416,5360.0,8608.0,4164.5,30923.3,16.0,9.0,69.0,24.0,7969.0,17.0,10.0,11.0,16.0,18.0,7.0,31.0,2689.0,100.0
192908,0.0,3.0,57.0,61188.7289684,1051400.0,8048.0,50.0,752.295947909,8008.0,19785.5,4813.6,61175.7,15.0,8.0,41.0,21.0,14400.0,11.0,15.0,2.0,3.0,10.0,7.0,31.0,304.0,58.0
276305,0.0,0.0,3.0,1785.29570449,1452441.0,262656.0,2.0,892.647852244,688382.0,136588.5,82503.0,445936.0,0.0,0.0,2.0,16.0,594892.5,0.0,0.0,0.0,1.0,1.0,0.0,15.0,2.0,4.0
182292,5.0,6.0,104.0,637612.27377,390782.0,1800.0,90.0,3737.9786918,1708.5,17068.0,4771.4,46072.6,25.0,20.0,66.0,22.0,1653.5,23.0,8.0,0.0,27.0,19.0,8.0,31.0,712.0,105.0
139766,3.0,3.0,50.0,646284.105903,883761.0,3406.5,44.0,1733.9342119,3406.5,18000.0,5030.8,91858.4,16.0,10.0,25.0,24.0,4500.0,5.0,7.0,1.0,8.0,9.0,9.0,26.0,559.0,51.0
333871,1.0,1.0,29.0,747937.587147,247612.0,3600.0,23.0,4602.23458745,3600.0,48432.5,4510.8,263161.1,7.0,4.0,14.0,13.0,3983.0,3.0,2.0,3.0,6.0,6.0,2.0,30.0,331.0,30.0
331883,2.0,5.0,74.0,1513112.26601,676604.0,4640.5,68.0,30359.3651262,4319.0,24476.0,6720.4,55581.2,28.0,5.0,45.0,21.0,4580.0,9.0,16.0,3.0,6.0,25.0,6.0,31.0,276.0,75.0
225702,2.0,24.0,120.0,413228.458601,320152.0,884.5,115.0,3500.07047455,857.0,10109.0,4444.2,52031.6,23.0,10.0,89.0,21.0,857.0,11.0,2.0,15.0,39.0,26.0,17.0,31.0,817.0,121.0
68552,3.0,9.0,91.0,555494.62474,465078.0,3420.0,86.0,1019.6319025,3451.5,10081.5,4220.5,59562.9,17.0,8.0,60.0,20.0,3415.0,15.0,6.0,10.0,16.0,26.0,8.0,30.0,1243.0,92.0
131990,3.0,11.0,87.0,371536.26,614640.0,5420.0,75.0,4937.88425717,4023.0,14411.5,4387.0,53883.3,23.0,14.0,60.0,23.0,3939.0,16.0,12.0,1.0,12.0,18.0,12.0,31.0,671.0,88.0
261783,0.0,0.0,16.0,68341.0590778,127761.0,1865.0,14.0,4099.32439712,1865.0,67214.0,5585.8,198528.8,6.0,4.0,10.0,9.0,1870.5,5.0,1.0,0.0,0.0,1.0,5.0,15.0,43.0,17.0
148836,0.0,15.0,57.0,1623984.57614,632232.0,6623.0,51.0,39038.3204061,6270.0,27555.0,6910.5,74700.5,6.0,5.0,48.0,22.0,5978.0,19.0,6.0,1.0,20.0,2.0,2.0,31.0,375.0,58.0
284179,3.0,9.0,67.0,596269.766534,370493.0,3427.0,57.0,0.0,3284.0,18169.5,4893.3,85268.4,17.0,12.0,40.0,22.0,3280.5,12.0,16.0,2.0,8.0,10.0,7.0,31.0,712.0,68.0
59037,0.0,9.0,71.0,265236.563238,955138.0,2700.0,64.0,1917.77778789,2523.0,12940.5,4474.0,52711.2,23.0,9.0,45.0,22.0,3079.0,4.0,2.0,3.0,23.0,18.0,13.0,24.0,584.0,72.0
254257,21.0,8.0,77.0,1080218.83785,430832.0,3830.0,74.0,20110.4197664,3963.5,32578.0,3600.0,41298.7,10.0,3.0,56.0,21.0,3600.0,4.0,31.0,0.0,0.0,37.0,2.0,31.0,383.0,78.0
332998,0.0,11.0,49.0,95913.950507,246160.0,2700.0,43.0,1027.4411222,2700.0,15655.0,3730.7,85626.7,21.0,10.0,39.0,19.0,2700.0,2.0,0.0,6.0,9.0,14.0,11.0,31.0,238.0,50.0
166527,3.0,15.0,103.0,1669275.772,570317.0,2763.0,96.0,18037.2070383,2747.5,12539.0,4388.0,45051.5,30.0,7.0,66.0,21.0,3007.0,12.0,5.0,19.0,18.0,18.0,19.0,31.0,897.0,104.0
263864,0.0,1.0,67.0,3503901.75357,874832.0,8793.0,56.0,13891.0473381,6134.5,7986.5,4300.1,64003.9,18.0,11.0,53.0,22.0,9146.0,3.0,1.0,19.0,9.0,11.0,11.0,31.0,592.0,68.0
259748,0.0,0.0,36.0,159288.925182,559097.0,14400.0,24.0,5581.318148,14400.0,48974.0,7109.2,131840.2,13.0,8.0,23.0,20.0,14400.0,13.0,3.0,0.0,0.0,3.0,4.0,31.0,87.0,37.0
50806,1.0,9.0,82.0,467107.308704,826347.0,1671.5,74.0,4119.86599189,1645.0,10921.0,4878.0,51659.0,17.0,11.0,55.0,23.0,1785.0,22.0,3.0,0.0,16.0,22.0,6.0,26.0,369.0,83.0
92064,4.0,0.0,91.0,323737.731957,258278.0,900.0,86.0,2850.67431176,882.0,18043.0,4817.5,63335.7,28.0,14.0,60.0,21.0,563.5,19.0,11.0,6.0,18.0,8.0,21.0,31.0,518.0,92.0
80174,0.0,3.0,103.0,1068277.13876,364311.0,1800.0,93.0,12160.3883728,1109.0,17708.5,5101.0,39831.5,32.0,17.0,64.0,24.0,1381.0,26.0,0.0,2.0,27.0,19.0,14.0,31.0,538.0,104.0
337502,3.0,3.0,83.0,343594.234772,542940.0,3334.0,71.0,3863.46772626,2833.0,12673.0,4062.5,64231.0,30.0,13.0,57.0,23.0,3600.0,12.0,13.0,5.0,3.0,14.0,18.0,31.0,660.0,84.0
286180,0.0,1.0,10.0,15986.0364806,1916551.0,899.5,10.0,1159.13872539,899.5,37843.0,4509.8,234617.6,3.0,1.0,6.0,26.0,626.5,3.0,0.0,0.0,1.0,2.0,3.0,10.0,32.0,11.0
330583,1.0,1.0,23.0,30006.8627534,206738.0,1784.0,20.0,702.640741467,1150.0,47054.0,6808.0,345469.0,5.0,4.0,12.0,11.0,7638.5,8.0,1.0,2.0,1.0,4.0,3.0,31.0,51.0,24.0
79119,1.0,3.0,31.0,501891.099946,408533.0,4992.0,25.0,298.200330376,4686.0,23600.5,5601.3,271822.7,13.0,5.0,22.0,15.0,4148.5,5.0,2.0,0.0,0.0,10.0,7.0,31.0,177.0,32.0
288229,3.0,2.0,60.0,423013.103984,243925.0,1800.0,53.0,8736.91897124,1800.0,36900.0,5400.0,81223.8,14.0,12.0,38.0,22.0,1800.0,11.0,3.0,5.0,14.0,5.0,7.0,31.0,198.0,61.0
63267,0.0,6.0,74.0,508020.519015,469319.0,2897.0,66.0,6691.45771701,2669.0,20788.0,5761.4,60699.8,22.0,14.0,55.0,23.0,2924.0,8.0,0.0,1.0,21.0,16.0,10.0,31.0,604.0,75.0
95907,3.0,12.0,92.0,2431730.47507,406767.0,1800.0,82.0,2632.24410981,1748.5,20605.0,4969.6,52916.2,22.0,15.0,53.0,21.0,1934.0,12.0,4.0,7.0,28.0,14.0,12.0,31.0,657.0,93.0
20482,0.0,0.0,6.0,75849.5398655,1971261.0,10764.0,5.0,0.0,12889.0,55802.0,4552.0,281495.0,1.0,1.0,2.0,24.0,969479.0,0.0,0.0,1.0,2.0,0.0,1.0,10.0,247.0,7.0
245177,3.0,19.0,58.0,484757.856512,197398.0,1808.0,55.0,9933.40418067,1800.0,27767.0,6580.0,69691.0,16.0,6.0,51.0,20.0,1816.0,12.0,4.0,0.0,15.0,11.0,8.0,31.0,259.0,59.0
208651,0.0,1.0,11.0,37460.6945705,118376.0,1808.0,7.0,4820.30007004,3098.0,205380.0,8073.3,514217.2,8.0,5.0,9.0,13.0,1451.0,1.0,0.0,0.0,0.0,2.0,4.0,31.0,13.0,12.0
150658,0.0,12.0,47.0,143259.389246,286621.0,783.0,43.0,2800.22183769,593.0,21378.5,6364.4,78381.7,16.0,14.0,36.0,17.0,550.5,2.0,2.0,3.0,3.0,19.0,12.0,25.0,70.0,48.0
204788,0.0,9.0,71.0,211024.604269,285507.0,1877.0,64.0,1922.312317,1599.0,11642.5,4307.7,69372.6,25.0,12.0,52.0,19.0,1636.0,10.0,0.0,1.0,16.0,16.0,16.0,31.0,424.0,72.0
102484,3.0,9.0,88.0,1825801.82795,412745.0,2924.5,80.0,12413.3696183,2708.5,14878.0,4637.0,63000.0,29.0,12.0,62.0,21.0,2978.0,20.0,3.0,1.0,14.0,24.0,14.0,31.0,612.0,89.0
288710,0.0,0.0,36.0,383144.499957,528628.0,7953.0,23.0,1615.65338855,6943.0,53211.0,5718.6,162629.8,14.0,9.0,20.0,18.0,8371.0,9.0,2.0,0.0,1.0,3.0,5.0,31.0,204.0,37.0
150615,0.0,0.0,17.0,58829.1036842,635370.0,44310.0,10.0,1228.37035464,47209.0,51343.0,8733.8,333791.7,6.0,5.0,10.0,14.0,29357.5,3.0,4.0,0.0,1.0,0.0,2.0,31.0,30.0,18.0
229204,2.0,14.0,113.0,932634.876645,614217.0,3137.0,98.0,4247.51665573,2631.5,11788.5,5409.0,46399.0,26.0,12.0,71.0,23.0,3533.0,17.0,8.0,6.0,27.0,28.0,6.0,31.0,1502.0,114.0
152672,0.0,4.0,63.0,678551.974048,350592.0,2673.0,50.0,12512.3064162,1708.0,30478.0,5981.0,74977.5,24.0,21.0,41.0,21.0,2673.0,8.0,0.0,0.0,23.0,5.0,10.0,31.0,181.0,64.0
237546,2.0,2.0,66.0,1701882.46555,354370.0,3281.0,60.0,34285.0992315,3281.0,29479.0,4669.6,53872.0,14.0,9.0,44.0,21.0,3641.0,17.0,2.0,22.0,6.0,3.0,7.0,31.0,992.0,67.0
248669,0.0,0.0,7.0,12956.730855,533453.0,90346.0,5.0,0.0,94059.0,250352.0,6537.0,535736.0,1.0,0.0,5.0,8.0,19184.0,0.0,0.0,0.0,1.0,1.0,3.0,29.0,5.0,8.0
289651,0.0,3.0,63.0,408160.566347,308705.0,3379.0,59.0,8213.85803631,3379.0,33083.5,4489.0,58186.0,28.0,7.0,43.0,20.0,3600.0,0.0,0.0,22.0,11.0,2.0,24.0,31.0,220.0,64.0
340278,2.0,4.0,35.0,103649.7393,187899.0,1800.0,26.0,1475.48439987,1028.0,57869.0,4903.2,186310.2,14.0,10.0,30.0,20.0,1800.0,10.0,2.0,0.0,2.0,4.0,4.0,31.0,200.0,36.0
15904,0.0,5.0,52.0,3537372.89871,957220.0,6008.5,38.0,1465.37066532,5790.5,23912.0,6127.8,73325.8,16.0,11.0,45.0,21.0,5284.0,6.0,2.0,0.0,15.0,10.0,4.0,30.0,345.0,53.0
159685,20.0,1.0,58.0,234753.249128,165960.0,900.0,54.0,4773.63934297,900.0,39752.0,7200.0,70685.0,25.0,5.0,43.0,22.0,704.0,4.0,21.0,0.0,3.0,22.0,3.0,31.0,111.0,59.0
108348,0.0,4.0,27.0,170314.475925,167954.0,1800.0,22.0,1865.84530935,1800.0,43076.0,4661.4,355887.9,14.0,7.0,14.0,13.0,1634.5,2.0,0.0,1.0,3.0,6.0,8.0,31.0,133.0,28.0
152230,0.0,0.0,57.0,304724.997372,1275987.0,14400.0,42.0,4630.78610876,14228.5,19846.5,6429.0,48742.9,6.0,6.0,40.0,24.0,14400.0,14.0,1.0,4.0,15.0,2.0,1.0,31.0,340.0,58.0
199659,2.0,14.0,72.0,199219.503702,280834.0,1800.0,68.0,1950.67258304,1800.0,15113.0,4684.8,63884.4,15.0,11.0,58.0,20.0,2039.5,8.0,6.0,2.0,18.0,20.0,9.0,31.0,336.0,73.0
185655,0.0,2.0,43.0,288392.488619,862452.0,2579.0,36.0,4422.0698956,1800.0,33336.5,6487.0,74186.0,14.0,12.0,34.0,25.0,1800.0,6.0,1.0,0.0,15.0,3.0,10.0,24.0,327.0,44.0
307139,0.0,5.0,30.0,156248.068628,234007.0,1903.0,25.0,2601.96128348,1800.0,64478.0,5996.2,226285.6,12.0,4.0,19.0,16.0,1800.0,0.0,0.0,4.0,4.0,9.0,8.0,31.0,209.0,31.0
217737,0.0,0.0,24.0,128608.572549,171435.0,2176.0,18.0,4337.86364558,1915.0,69348.0,7074.4,258618.2,9.0,9.0,9.0,10.0,2113.0,6.0,0.0,1.0,1.0,4.0,4.0,31.0,71.0,25.0
314879,0.0,0.0,36.0,290405.179061,961101.0,17650.5,27.0,8715.96873511,27906.0,19979.0,11614.0,193254.0,16.0,0.0,35.0,20.0,16022.0,10.0,4.0,4.0,0.0,0.0,9.0,31.0,79.0,37.0
79999,1.0,8.0,69.0,436810.337275,453957.0,1365.0,64.0,6658.72971425,1351.0,19767.0,5298.6,49015.3,19.0,13.0,41.0,20.0,1800.0,4.0,2.0,21.0,9.0,10.0,13.0,31.0,281.0,70.0
335608,4.0,4.0,56.0,591301.543853,1673168.0,2582.5,53.0,3158.04711163,2443.0,11380.0,4723.2,41620.6,11.0,5.0,35.0,26.0,2443.0,16.0,6.0,2.0,7.0,13.0,8.0,17.0,570.0,57.0
221551,0.0,1.0,53.0,285966.012945,721382.0,11506.0,41.0,4078.66882755,8663.0,21600.0,6633.5,78831.5,15.0,8.0,42.0,21.0,11720.5,6.0,3.0,13.0,4.0,9.0,5.0,31.0,165.0,54.0
296043,4.0,5.0,62.0,301273.631387,240295.0,1794.5,57.0,3285.53320698,1789.0,25436.0,7754.8,84920.8,17.0,10.0,38.0,17.0,1794.5,12.0,4.0,3.0,11.0,14.0,9.0,31.0,336.0,63.0
339893,6.0,10.0,107.0,672354.597088,619080.0,2516.0,95.0,3577.25198508,2285.0,9970.5,4426.8,48294.8,20.0,13.0,78.0,23.0,2470.0,10.0,11.0,3.0,33.0,24.0,6.0,31.0,558.0,108.0
190030,0.0,4.0,59.0,220700.524366,312289.0,3266.0,54.0,0.0,3382.0,14867.5,4350.6,119027.7,11.0,8.0,48.0,20.0,3853.0,3.0,0.0,15.0,11.0,19.0,5.0,31.0,366.0,60.0
124537,0.0,2.0,24.0,157189.41819,1406755.0,24880.5,16.0,7165.89477845,14303.0,23043.0,6958.0,114258.6,3.0,2.0,21.0,22.0,14729.0,1.0,0.0,5.0,3.0,3.0,3.0,27.0,107.0,25.0
56247,7.0,9.0,137.0,2203894.80799,931689.0,2700.0,127.0,11637.6120969,2368.0,8057.5,3676.2,26752.9,21.0,8.0,94.0,21.0,2721.5,35.0,14.0,24.0,25.0,17.0,11.0,30.0,2451.0,138.0
150697,0.0,0.0,46.0,499168.608922,782574.0,14400.0,30.0,11633.6535575,9619.0,21955.0,7200.0,76907.2,9.0,5.0,35.0,19.0,14400.0,3.0,4.0,6.0,12.0,3.0,1.0,31.0,171.0,47.0
105327,1.0,2.0,30.0,948392.722233,1772274.0,12038.0,25.0,6548.12134085,11214.0,17048.0,4676.4,89736.0,4.0,3.0,20.0,26.0,12417.5,3.0,3.0,5.0,5.0,3.0,3.0,18.0,133.0,31.0
161723,2.0,3.0,62.0,425691.411705,379663.0,4350.5,53.0,2114.76738409,4201.0,11462.0,4744.4,87320.2,24.0,10.0,46.0,23.0,4397.5,15.0,5.0,0.0,2.0,14.0,13.0,31.0,251.0,63.0
217038,0.0,10.0,48.0,378539.343167,876612.0,2704.0,45.0,10416.7362803,2700.0,19056.0,3600.0,95400.0,9.0,4.0,33.0,22.0,1977.0,15.0,1.0,4.0,5.0,10.0,7.0,24.0,570.0,49.0
250852,0.0,0.0,11.0,84944.2818867,571058.0,48483.0,6.0,2259.55985782,29677.5,58394.5,7094.6,526170.1,3.0,1.0,7.0,11.0,49774.0,2.0,1.0,0.0,0.0,2.0,1.0,30.0,29.0,12.0
278780,0.0,3.0,65.0,551067.060703,346690.0,2296.0,58.0,11230.6875911,2075.5,32716.5,6298.5,56563.8,26.0,20.0,47.0,22.0,3356.0,5.0,1.0,16.0,10.0,7.0,18.0,32.0,354.0,66.0
262852,0.0,3.0,41.0,272456.483184,622000.0,9735.0,29.0,7006.00870538,9020.0,27262.0,6279.5,89744.2,13.0,5.0,22.0,18.0,11110.5,8.0,3.0,0.0,7.0,7.0,4.0,31.0,212.0,42.0
154840,1.0,12.0,90.0,648889.289615,636016.0,3374.5,79.0,7748.34825955,2427.0,17774.0,5102.6,47797.6,14.0,11.0,61.0,22.0,2427.0,23.0,2.0,6.0,29.0,13.0,5.0,31.0,508.0,91.0
50143,1.0,3.0,63.0,382364.120618,244103.0,1587.0,55.0,6675.7542135,1431.0,14592.5,5034.0,79962.5,27.0,12.0,36.0,19.0,1734.5,14.0,3.0,0.0,0.0,17.0,10.0,31.0,330.0,64.0
3488,4.0,8.0,101.0,431124.18455,640228.0,3224.0,92.0,1508.07952469,2907.5,11256.5,4549.7,47729.1,23.0,11.0,75.0,22.0,2953.0,13.0,9.0,12.0,21.0,20.0,12.0,31.0,1186.0,102.0
191712,11.0,1.0,65.0,182049.997379,354509.0,1605.0,62.0,3183.9410742,1679.5,24500.0,6218.0,64307.6,6.0,5.0,52.0,20.0,1314.5,14.0,20.0,8.0,15.0,0.0,4.0,31.0,252.0,66.0
56434,2.0,0.0,9.0,17705.2256892,745918.0,75806.0,6.0,1839.5037872,75409.0,156598.5,29894.4,472022.8,1.0,0.0,6.0,12.0,86316.0,0.0,3.0,0.0,0.0,1.0,2.0,28.0,10.0,10.0
207734,0.0,1.0,34.0,165431.093861,522852.0,9743.5,27.0,1368.502649,8681.0,48138.0,4651.6,167071.4,8.0,3.0,25.0,18.0,9286.0,8.0,0.0,0.0,3.0,10.0,4.0,31.0,144.0,35.0
5885,2.0,8.0,58.0,300058.216353,216616.0,1630.5,54.0,695.397503945,1630.5,21840.0,4470.0,91768.0,11.0,8.0,42.0,20.0,1431.0,13.0,3.0,1.0,6.0,17.0,6.0,31.0,388.0,59.0
269317,0.0,5.0,64.0,262653.5151,238707.0,1469.0,58.0,3478.98736048,1327.0,12162.0,5013.6,95750.6,27.0,19.0,39.0,21.0,1444.0,10.0,0.0,3.0,11.0,13.0,17.0,31.0,368.0,65.0
226486,2.0,18.0,87.0,758235.202526,346088.0,1800.0,78.0,2052.19688691,1800.0,19443.0,5475.2,56702.5,20.0,11.0,57.0,22.0,1981.0,21.0,5.0,1.0,16.0,21.0,8.0,30.0,502.0,88.0
88091,1.0,2.0,48.0,222910.492399,538780.0,7782.5,39.0,4202.30757843,7240.0,35793.0,5153.0,90877.0,18.0,9.0,32.0,20.0,7223.0,11.0,4.0,1.0,5.0,7.0,7.0,31.0,98.0,49.0
